,CONTINENTAL CEMENT COMPANY,,78,611,,490,382,404,776,347,,1,429,,522,483,463,489,517,,340,845,,512,630,520,412,635,,386,910,,571,533,858,798,507,,354,780,,633,635,726,623,459,,415,1081,,853,681,883,683,848,,287,981,,682,392,375,402,472,,343,1125,,634,646,618,804,857,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RIVER CEMENT COMPANY DBA BUZZI UNICEM,,263,792,,595,487,493,881,452,,1,525,,533,494,473,500,528,,160,734,,486,605,495,387,630,,205,785,,489,415,777,717,425,,187,664,,515,566,656,553,341,,401,1134,,784,612,813,613,779,,381,1040,,744,455,438,464,534,,475,1275,,739,751,724,910,963,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HOLCIM (US) INC STE GENEVIEVE PLANT,,272,802,,623,515,910,480,561,,1,529,,561,522,502,528,556,,150,727,,515,633,485,415,658,,194,778,,460,385,748,687,396,,179,610,,496,595,685,583,353,,404,1140,,813,641,843,643,808,,384,1040,,772,483,466,492,563,,485,1284,,767,780,752,938,991,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LONE STAR INDUSTRIES,,384,914,,729,621,627,1015,586,,2,599,,602,627,607,634,661,,41,662,,457,559,384,271,600,,86,705,,359,284,646,586,295,,102,625,,460,617,654,618,252,,451,1200,,881,708,910,710,875,,450,1128,,878,588,571,598,668,,587,1386,,873,885,857,1044,1097,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Plant,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Columbus,Cleveland,Cincinnati,Toledo,Akron,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Chicago,Aurora,Joliet,Naperville,Rockford,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:," 	Milwaukee",Madison,Green Bay," 	Kenosha"," 	Racine",Neighboring state,Nearest border distance,Furthest border distance,Major Cities:," 	Indianapolis"," 	Fort Wayne",Evansville," 	Fishers",South Bend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,St Marys Cement INC,Ohio,404,802,,727,689,817,502,718,Illinois,373,980,,567,624,587,610,700,Wisconsin,133,591,,686,720,504,680,698,Indiana,396,865,,746,553,1018,721,467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HOLCIM (US) INC. D/B/A LAFARGE ALPENA,,371,744,,690,651,779,465,681,,455,1024,,682,739,702,725,816,,285,748,,757,791,575,795,814,,385,895,,784,592,1057,760,582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Plant,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,New York City,Hempstead town,Brookhaven,Islip,Oyster Bay,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Newark,Jersey City,Paterson,Lakewood,Elizabeth,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Wilmington,Dover,Newark,Middletown,Bear,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Baltimore,Columbia,Germantown,Frederick,Waldorf,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Charleston,Huntington,Morgantown,Parkersburg,Wheeling,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Columbus,Cleveland,Cincinnati,Toledo,Akron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,ARMSTRONG CEMENT & SUPPLY,New York,134,696,,595,628,699,672,643,New Jersey,379,486,,572,592,570,602,575,Delaware,353,475,,503,548,475,502,520,Maryland,121,482,,424,409,373,348,471,West Virginia,72,435,,414,490,166,339,145,Ohio,69,475,,379,219,516,378,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LEHIGH WHITE CEMENT CO LLC,,228,628,,298,344,405,377,353,,118,269,,286,293,311,251,276,,88,222,,143,196,122,161,136,,26,246,,83,101,111,109,181,,99,544,,609,686,361,534,418,,327,703,,621,560,789,719,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Heidelberg Materials/EVANSVILLE CEMENT PLT & QUARRY,,136,544,,183,226,288,260,236,,61,191,,164,177,180,199,165,,75,234,,108,186,109,150,126,,84,276,,192,210,219,230,289,,192,633,,691,767,443,615,492,,391,777,,696,634,863,793,597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LAFARGE NA WHITEHALL PLANT,,102,511,,148,191,253,225,201,,26,200,,129,142,145,178,130,,95,250,,129,207,154,171,146,,110,248,,240,250,325,249,333,,239,664,,714,791,466,639,515,,423,813,,719,621,887,780,582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEYSTONE CEMENT COMPANY,,91,505,,141,185,246,219,194,,17,203,,122,136,139,163,123,,99,252,,143,220,167,185,160,,116,387,,253,261,338,263,346,,243,684,,728,805,480,653,529,,431,823,,777,618,900,777,579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HEIDELBERG MATERIALS US CEMENT LLC/ NAZARETH,,87,501,,135,178,240,212,188,,9,202,,116,129,132,157,117,,101,255,,145,222,169,187,162,,120,395,,256,278,343,268,348,,250,692,,733,810,485,658,534,,440,831,,785,625,905,784,587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HERCULES CEMENT STOCKERTOWN PLT QUARRY,,82,498,,138,182,244,216,188,,6,203,,120,133,115,160,120,,104,258,,149,226,173,191,166,,123,399,,259,281,360,284,352,,253,695,,749,826,501,674,550,,443,835,,805,646,977,805,607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Plant,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:," 	Atlanta"," 	Augusta-Richmond County"," 	Columbus"," 	Macon-Bibb County"," 	Savannah",Neighboring state,Nearest border distance,Furthest border distance,Major Cities:," 	Charlotte",Raleigh,Greensboro," 	Durham"," 	Winston-Salem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,HOLCIM (US) INC.,Georgia,103,513,,415,187,578,431,174,North Carolina,169,531,,266,364,357,406,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GIANT CEMENT COMPANY,,101,513,,414,185,578,417,161,,172,534,,264,378,370,419,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Argos Cement LLC - Harleyville Plant,,100,513,,414,185,578,417,161,,175,536,,264,378,370,419,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Plant,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Billings," 	Missoula",Great Falls,Bozeman," 	Butte-Silver Bow",Neighboring state,Nearest border distance,Furthest border distance,Major Cities:," 	Sioux Falls"," 	Rapid City",Aberdeen," 	Brookings"," 	Watertown",Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Omaha,Lincoln,Bellevue,Grand Island,Kearney,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Wichita,Overland Park,Kansas City,Olathe,Topeka,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Oklahoma City,Tulsa,Norman,Broken Arrow,Edmond,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Albuquerque,"	Las Cruces","	Rio Rancho","	Santa Fe","	Roswell",Neighboring state,Nearest border distance,Furthest border distance,Major Cities:," 	Phoenix"," 	Tucson"," 	Mesa",Chandler,Gilbert,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:," 	Salt Lake City",West Valley City," 	West Jordan"," 	Provo"," 	St. George",Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Boise City," 	Meridian"," 	Nampa"," 	Caldwell"," 	Idaho Falls",,,,,,,,,,,,,,,,,,
Wyoming,MOUNTAIN CEMENT CO,Montana,415,1186,,813,1235,1156,1037,1061,South Dakota,232,893,,1009,575,1016,1082,1158,Nebraska,130,880,,867,791,874,664,590,Kansas,332,1059,,1054,1123,1106,1130,1088,Oklahoma,525,1296,,1310,1334,1338,1371,1288,New Mexico,475,1147,,976,1331,962,886,1065,Arizona,560,1273,,1423,1697,1625,1648,1634,Utah,290,869,,630,637,648,655,1078,Idaho,460,1239,,1103,1116,1130,1142,745,,,,,,,,,,,,,,,,,,
State,Plant,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Billings," 	Missoula",Great Falls,Bozeman," 	Butte-Silver Bow",Neighboring state,Nearest border distance,Furthest border distance,Major Cities:," 	Sioux Falls"," 	Rapid City",Aberdeen," 	Brookings"," 	Watertown",Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Omaha,Lincoln,Bellevue,Grand Island,Kearney,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Wichita,Overland Park,Kansas City,Olathe,Topeka,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Oklahoma City,Tulsa,Norman,Broken Arrow,Edmond,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Albuquerque,"	Las Cruces","	Rio Rancho","	Santa Fe","	Roswell",Neighboring state,Nearest border distance,Furthest border distance,Major Cities:," 	Phoenix"," 	Tucson"," 	Mesa",Chandler,Gilbert,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:," 	Salt Lake City",West Valley City," 	West Jordan"," 	Provo"," 	St. George",Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Boise City," 	Meridian"," 	Nampa"," 	Caldwell"," 	Idaho Falls",,,,,,,,,,,,,,,,,,
Colorado,CEMEX CONSTRUCTION MATERIALS SOUTH LLC,Montana,533,1297,,862,1411,1205,1086,1223,South Dakota,327,933,,1015,624,1065,1131,1207,Nebraska,134,845,,870,794,877,666,592,Kansas,274,988,,895,1030,1030,1018,929,Oklahoma,406,1201,,1151,1175,1179,1212,1129,New Mexico,357,1044,,817,1172,803,727,906,Arizona,486,1212,,1560,1538,1466,1489,1475,Utah,323,845,,833,840,851,858,1083,Idaho,526,1349,,1306,1318,1333,1345,948,,,,,,,,,,,,,,,,,,
,Holcim (US) Inc. - Portland Plant,,735,1473,,1088,1637,1431,1312,1449,,520,1090,,1178,850,1278,1264,1341,,303,855,,1032,956,1039,829,755,,259,927,,869,1005,1004,992,904,,235,1083,,980,1149,1013,1163,1001,,154,866,,592,947,578,502,682,,386,1102,,1335,1313,1241,1264,1250,,352,864,,1059,1066,1077,848,1085,,650,1521,,1532,1544,1559,1571,1174,,,,,,,,,,,,,,,,,,
,GCC RIO GRANDE INC,,763,1516,,1089,1639,1433,1313,1451,,544,1091,,1180,851,1280,1266,1342,,304,848,,1034,958,1041,830,756,,224,888,,702,1008,1007,996,907,,190,1038,,933,1103,965,1116,954,,127,858,,545,900,531,454,634,,410,1117,,1288,1265,1193,1216,1202,,388,909,,1060,1067,1079,951,1188,,697,1566,,1534,1546,1561,1573,1176,,,,,,,,,,,,,,,,,,
State,Plant,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Omaha,Lincoln,Bellevue,Grand Island,Kearney,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Kansas City,"	St. Louis",Springfield,"	Columbia","	Independence",Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Oklahoma City,Tulsa,Norman,Broken Arrow,Edmond,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Denver,Colorado Springs,Aurora,Fort Collins,Lakewood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,MONARCH CEMENT COMPANY (THE),Nebraska,246,931,,490,450,457,601,625,Missouri,72,547,,183,578,262,382,208,Oklahoma,88,686,,385,213,413,226,377,Colorado,580,1222,,996,970,985,1082,1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASH GROVE CEMENT CO-CHANUTE PLANT,,256,936,,454,445,424,605,629,,74,545,,199,595,259,399,225,,78,682,,372,200,400,213,364,,579,1223,,1000,974,989,1086,1011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Plant,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Chicago,Aurora,Joliet,Naperville,Rockford,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:," 	Indianapolis"," 	Fort Wayne",Evansville," 	Fishers",South Bend,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Columbus,Cleveland,Cincinnati,Toledo,Akron,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:," 	Charleston",Huntington,Morgantown," 	Parkersburg"," 	Wheeling",Neighboring state,Nearest border distance,Furthest border distance,Major Cities:," 	Virginia Beach"," 	Chesapeake",Arlington," 	Norfolk"," 	Richmond",Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Charlotte,Raleigh," 	Greensboro",Durham," 	Winston-Salem",Neighboring state,Nearest border distance,Furthest border distance,Major Cities:," 	Atlanta"," 	Augusta-Richmond County"," 	Columbus",Macon-Bibb County," 	Savannah",Neighboring state,Nearest border distance,Furthest border distance,Major Cities:," 	Jacksonville"," 	Miami"," 	Tampa"," 	Orlando"," 	St. Petersburg",Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,"	Jackson","	Gulfport","	Southaven","	Hattiesburg","	Biloxi",Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Little Rock,Fayetteville,Fort Smith,Springdale,Jonesboro,Neighboring state,Nearest border distance,Furthest border distance,Major Cities:,Kansas City,"	St. Louis",Springfield,"	Columbia","	Independence",,,,
